,0
DESAT18_4,0.9605927
PLPSD1801845Z9Z12Z15Z,0.9168489
OA48PVL,0.9344484
4HOXPACMOF,0.96002465
HEPK2,0.9530503
4TMEABUTNt2,0.9453322
DHBD,0.94891953
DOLASNT12,0.9170145
FEENTERtonex,0.9322532
COMCOA,0.93297535
GALMAN600c_e,0.9055779
STS4,0.95521563
PPACO,0.9600584
PLDAGAT_HDE_HDE_HDE_PE_14_c,0.96108735
ARACHETH,0.90270615
CTI1,0.9315167
DHCRD2_cho,0.95865446
2HATVACIDGLUCteb,0.79132944
PLDPC_DHA_OLE_c,0.959205
ACNACNGAL14ACGLCGALGLUSIDEte,0.49805334
LCAT12e,0.9547039
ILEASPr,0.94523597
COLIPAabcpp,0.9566393
PCW3DS_STC_STA_sn2_c,0.9587742
PPAP_16_0_18_0,0.9578582
DAGAH_DHA_OLE_c,0.95952135
PHYTSpp,0.92226756
WCOS,0.92877835
GBPS,0.94648224
RE2250C,0.62473774
PLA2PC_STC_ALNA_c,0.96001244
PCHOLN15_HSABCt,0.95057267
PLDAGAT_HDE_HDE_HDE_PE_15_c,0.96107405
PAPA1,0.8955323
ORNCD,0.9614997
GLGP,0.95938814
r1855,0.96148425
DKGLCNR2x,0.9569132
5HTRPVESSEC,0.9533536
CARVEOLte,0.57504785
PROGLYPEPT1tc,0.9518056
HCO3_NAt,0.96157247
6M3HOAHL,0.9189747
S4FE4SR,0.9326555
ALDD8,0.93748695
r1909,0.9614584
CBLAT_DELETE,0.9584275
PLDAGAT_HDE_EPA_PALM_PC_5_c,0.96120864
L_LACD3_1,0.96014506
OMCPPCI2,0.81291294
PI45PLC_18_1_20_4,0.95534855
MYC2CYC3,0.936227
OA7LST,0.8962034
ALAabcpp,0.96002203
SLGH,0.9522879
NAHCO3_HCLt2,0.9613836
OHACT3,0.90889436
RSVATPtu,0.94850385
TRPTHRILEt,0.8753299
23PDE4pp,0.9057416
C180SN,0.960771
PI4PLC_18_2_18_2,0.9541043
LPCH2264Z7Z10Z13Z16Z19Z_sn1_c,0.9612566
PMI1346PH,0.95155376
CYTBD,0.9613488
ARGHISTHRr,0.94382787
D3AIBT,0.94646937
ETHAPT_PALM_MYRS_c,0.95994973
PI345P5P_cho,0.95774347
r1666,0.9614422
DTTUP,0.96048874
LPS30TVL,0.493424
PLDPC_MYRS_EPA_c,0.9598302
RN0020C,0.88211495
ACNAMtex,0.943663
DHCHOLESTANATEt,0.94914144
HMR_0391,0.9537682
MGDG160,0.9608256
EDTXSF120,0.94812393
r2274,0.9580794
ARGPROTHRr,0.94848704
HMR_2016,0.94921964
LCYSTCBOXL,0.960682
CHOPT_LNA_LNA_c,0.96032137
EAR200_c,0.9460935
FUCFUC12GAL14ACGLCGALGLUSIDEte,0.16009541
CITt10,0.9569376
NAGINS,0.94619447
ALAALAtex,0.92871326
PROFVStev,0.49842963
BALABETAtc,0.9598851
ACSPHAC70,0.95290786
HHDDH,0.93866146
PLIPA1A120pp,0.923999
ARBt3ipp,0.95538163
LAAL20,0.944158
DASYN184_6_9_12_15,0.9422206
PLDAGAT_PALM_PALM_LNA_PE_16_c,0.9609919
ACRS,0.9545707
PI45P5P_18_2_18_1,0.95442396
HPPPNt2r,0.9317783
IBUP_RASCL1hep,0.92998046
r1530,0.9613945
N8ASPMDte,0.5824416
GLYPHEtr,0.9244453
UGLDDS2_1,0.94770664
ETOHMO,0.9607203
GCDH,0.959067
THMt3,0.9593081
GLUTARH,0.95214176
r2287,0.9584738
PEDS1829Z12Z1835Z9Z12Z,0.95676506
PHAPCP80,0.94794744
TEGAt,0.632523
PLDAGAT_MYRS_EPA_EPA_PC_6_c,0.9610239
UDPG1P,0.9532714
R05217_nad,0.95774674
PMI12346PH,0.9484955
PHAPCT40,0.94595855
DKMPPD3_1,0.95942044
STCRNtr,0.93633807
SERt2rpp,0.9597305
UDCASULT,0.9543338
TRPGLUGLYt,0.8982257
TCA3St,0.94416654
OA18LL,0.9042891
CDS_18_1_18_1,0.9506753
SOLPOOL,0.9471713
LEUASPLYSr,0.9493778
LEUKTRF4t,0.95851904
PHELYSALAt,0.83201927
C120CPT1,0.92283267
PLDAGAT_DHA_EPA_ARA_PE_11_c,0.96087456
CYTK13,0.96032953
PI345P3P_18_1_20_4,0.9505317
PLDAGAT_PALM_HDE_GLNA_PC_4_c,0.96103054
MSO3abc,0.94490397
GOX,0.9611228
ASPPROASCT1,0.96087974
CPS_1,0.9611254
ACOADAGAT1819Z1819Z18111Z,0.95880324
GABAVESSEC_1,0.9608176
RE3503C,0.9307503
SMS11,0.9531565
OA42PL,0.9385989
PAI2I,0.8979836
CSASULPteb,0.9371606
ALALYSTHRr,0.9480426
EAR60y,0.95237774
PLDPE_LNA_ARA_c,0.95848566
RNTR2_2,0.9609229
AGM4PH,0.94690555
NADH2r,0.95894694
PEDS1801845Z9Z12Z15Z,0.9572207
PLDAGAT_HDE_PALM_PALM_PE_12_c,0.96110827
LPCAT_DHA_HDE_sn2_c,0.96126306
RHA60tpp,0.92125964
2H3MPt,0.90131295
MYCFLUX5,0.9512862
6MELACAChep,0.8936352
OXAtpp,0.95476353
PLDAGAT_HDE_HDE_GLNA_PC_4_c,0.96103674
r1873,0.961468
PIPLC_18_2_16_0,0.95689964
PLDPC_EPA_EPA_c,0.96031237
ALLULPE,0.9293398
ASNTYRGLYt,0.9308419
DESAT16,0.96143323
GLPASE2a,0.95029086
CPGNR2,0.9556261
ALGE4,0.9211086
RE0926C,0.95908946
SMS15,0.95358086
ACAC_Et,0.9608024
PDX5PSa,0.94979304
TAGAH_MYRS_EPA_MYRS_c,0.9611182
SAOR,0.94749326
DAGK_LNA_ALNA_c,0.95527685
CBFCpp,0.948745
RE0066C,0.88768387
ACTD,0.95906264
SACCD1,0.957718
LYX_L_Et,0.917558
PIP3P_LNA_PALM_c,0.9448114
SARCStex,0.7978347
PLDAGAT_LNA_EPA_GLNA_PC_2_c,0.96101516
PLDAGAT_LNA_EPA_ARA_PE_12_c,0.96088094
RETINALt,0.95239913
r1893,0.9615002
FEROXBFER3,0.9532027
PLDAGAT_HDE_EPA_HDE_PC_4_c,0.9611257
CAOPT,0.9566014
SPHMYLN181201_hs_SECt,0.92840767
PI4PP,0.9600119
THMMPtrbc,0.95732355
RBTCT,0.9522874
RDH1,0.959415
RECOAH24,0.9496656
COt,0.9358954
OA18PST,0.936481
PLA2PC_OLE_STA_c,0.9583409
FACOAL191,0.9280357
PLA2PA_EPA_GLNA_c,0.95947224
PPA_1pp,0.9615782
PGLYCABCte,0.94574887
HMR_0260,0.9591384
LCA3Sabc,0.94378114
BZALtex,0.88630337
QMO3,0.9608484
RE2975C,0.791092
ACHLE1,0.94448036
SBO3rt2pp,0.929474
BCT1_syn,0.95758003
G13MT_U,0.9336811
MPOMOR,0.958318
r1690,0.9614976
OA53LVL,0.905777
NDP3,0.9609065
OSUCCL,0.9547788
PCD6DS_PALM_GLNA_sn2_c,0.96098804
PROTS_LLA_v3,0.69833326
CTBTCAL2,0.95223236
XOLESte_16_0,0.7280112
DASYN_SA,0.956866
ARTCOAL3,0.9588658
SPHPL,0.946036
PLDAGAT_HDE_MYRS_GLNA_PC_4_c,0.961055
CEPTC_16_0_16_1,0.9551212
MALt2_3,0.9609449
PItpp,0.9612762
PLDAGAT_PALM_MYRS_PALM_PE_14_c,0.9609671
SALADC2,0.96068364
PLIPA2E181d11pp,0.95557743
OA1_3_19PST,0.9398531
FUCACNGAL14ACGLCGALGLUSIDEte,0.49793446
LVSTACIDtu,0.9221503
LYSGLUGLYtr,0.9219216
AMPEP9,0.9496342
NDERSVteb,0.7913959
PLDAGAT_LNA_EPA_ARA_PC_3_c,0.960971
RHMNT2,0.7240186
EBASTINEOHte,0.15158866
UAGAAT,0.95415825
r0796,0.95552766
r1983,0.9614757
NO3R1bpp,0.9590682
DAGK_MYRS_STC_c,0.95782334
D_LACtex,0.9261078
10MDOD,0.93446374
PLDAGAT_MYRS_EPA_LNA_PC_3_c,0.96112305
HMR_0383,0.9522923
15KPROSTGF2t,0.8593258
HMR_0825,0.95747477
LDL_HSSYN,0.9368217
RDH2a,0.9557068
ICDCHOLabc,0.9488712
HMR_0375,0.95204973
PLDPE_PALM_ALNA_c,0.9558731
r2184,0.9578371
DAGAH_EPA_ARA_c,0.9585469
PC8XM,0.95548195
TEO2M,0.58620113
DOPAc,0.96053517
FAS140COA,0.9608727
FASm2201,0.9441238
RAFFINt2,0.9315665
LPS2_18_0_18_2,0.9591448
DHNAOT_1,0.95805645
LPASE_18_1,0.958732
CADMO,0.93333274
PLA2PC_PALM_OLE_c,0.9608562
R05219,0.94630265
PLA2PE_LNA_DHA_c,0.9609436
THRILEARGr,0.9438665
MAGAH18111Z_1,0.9498953
FK,0.94619656
PLDAGAT_PALM_HDE_HDE_PC_4_c,0.9610735
PCHOLEIC_HSABCt,0.94604826
CBMKr,0.96113694
FASm2001,0.94411606
ACHEe,0.9592782
NDPK6,0.9604112
BTS4,0.95833457
UPPN,0.9582787
CDIPT_HDE_EPA_c,0.9489116
